stock_id,mu,sigma
688009.SH,-0.03539445894901907,0.35249219599535786
688037.SH,0.7770135892753243,0.6136762171458547
688039.SH,0.6578448630275597,0.7151128258717031
688045.SH,0.3580715474323894,0.6044574406116748
688050.SH,0.19789699154543555,0.5111983550797229
688058.SH,0.658033811760235,0.6914272814437583
688083.SH,0.5948883085401233,0.5649121467331621
688097.SH,0.5186017067422996,0.5896119846299511
688107.SH,0.4410420110397002,0.614797099194508
688132.SH,0.3534812097527466,0.579403700100366
688155.SH,0.6240305038921992,0.568652869613309
688158.SH,1.196343803142379,0.7646589676559543
688161.SH,0.447326081806496,0.4240591379757295
688166.SH,1.1388794375798825,0.6427106975850458
688179.SH,0.7521323017995661,0.5094062756977836
688181.SH,0.7559046164477446,0.5854559027027009
688196.SH,0.926444594830161,0.6339328901415088
688212.SH,0.3607394777079307,0.4937050444130813
688220.SH,1.0176487011088555,0.7381879015343658
688237.SH,0.7117343441898761,0.5546672387420739
688266.SH,1.0400794038440997,0.4978809162305046
688277.SH,0.9053176462264608,0.5933664153148762
688312.SH,0.2535841093962212,0.5702231630258313
688321.SH,0.9454838465208769,0.5572445263060165
688348.SH,0.3201509329660569,0.604594326584894
688381.SH,0.3263769071949203,0.5655218696609609
688472.SH,0.1607806048664691,0.4829264344457832
688475.SH,0.26658135445370684,0.4926874051725548
688506.SH,0.7645256329320534,0.5691431806827499
688545.SH,0.15552939902553137,0.37916320850733226
688580.SH,0.8394031860601188,0.5921124977004029
688590.SH,0.8966177165502872,0.7622253823247863
688610.SH,0.43026089544263046,0.4705187188847628
688620.SH,0.6877886421156894,0.6913578774670862
688636.SH,1.1790026338875703,0.5836657174503344
688701.SH,0.8039426743129535,0.5178982301625467
688729.SH,-2.7034767178485333,0.5163257851604595
688786.SH,0.2485523970118098,0.43836362498958176
688793.SH,0.2061235342362792,0.6343171359634444
688798.SH,0.4628514277475304,0.5733338162060794
