epoch,total_loss,constraint_loss,loss,boundary_loss
0,75.98363494873047,31.23163604736328,31.63871955871582,44.34491729736328
1,76.5628662109375,31.128469467163086,31.383174896240234,45.1796875
2,74.48662567138672,31.03339385986328,31.417360305786133,43.06926727294922
3,70.37315368652344,30.927791595458984,31.27993392944336,39.09321594238281
4,71.40135192871094,30.80120086669922,31.49205207824707,39.9093017578125
5,63.64552307128906,30.654870986938477,31.039331436157227,32.6061897277832
6,63.08216094970703,30.48981475830078,30.92608642578125,32.15607452392578
7,67.6160888671875,30.280893325805664,31.14622688293457,36.4698600769043
8,64.94564819335938,30.04458236694336,30.879098892211914,34.066551208496094
9,57.26026153564453,29.762130737304688,30.41712188720703,26.843141555786133
10,57.61532211303711,29.41470718383789,30.032907485961914,27.582414627075195
11,55.6258544921875,29.02655601501465,29.63313865661621,25.99271583557129
12,53.4166259765625,28.56046485900879,29.157602310180664,24.259021759033203
13,52.347496032714844,28.0482234954834,28.89006996154785,23.457426071166992
14,48.184722900390625,27.477949142456055,28.062963485717773,20.12175941467285
15,46.370243072509766,26.837305068969727,27.347288131713867,19.0229549407959
16,43.11194610595703,26.151504516601562,26.712352752685547,16.39959144592285
17,40.024017333984375,25.476821899414062,26.026329040527344,13.997690200805664
18,36.417938232421875,24.685688018798828,25.18703842163086,11.230899810791016
19,36.43320846557617,23.87859344482422,24.377124786376953,12.056083679199219
20,34.969173431396484,23.073104858398438,23.533702850341797,11.435469627380371
21,29.74455451965332,22.236053466796875,22.689403533935547,7.055150508880615
22,29.36618995666504,21.34684944152832,21.82802391052246,7.53816556930542
23,26.279430389404297,20.41204261779785,20.80622673034668,5.473203659057617
24,26.44268035888672,19.4555721282959,19.781118392944336,6.661561965942383
25,24.316015243530273,18.425264358520508,18.767757415771484,5.548258304595947
26,23.76810073852539,17.385848999023438,17.905048370361328,5.863051891326904
27,22.83235740661621,16.31960105895996,16.85243797302246,5.97991943359375
28,20.0114803314209,15.230374336242676,15.648111343383789,4.363368988037109
